weightit;weightit_1;weightit_2;weightit_3;weightit_4;weightit_5
1;33;12;1;0;0
1;20;12;1;0;8644
0;39;12;1;0;19785
1;49;8;1;1;9715
0;26;8;1;1;37212
0;38;10;1;1;14759
0;28;12;0;0;0
0;27;12;1;0;0
1;33;12;1;0;20280
0;44;9;1;1;12261
0;28;10;1;1;5441
0;31;12;0;0;0
0;24;12;1;0;28262
0;29;12;0;0;12117
0;20;11;1;1;7254
0;22;10;1;1;25721
1;35;9;1;1;13602
1;42;9;1;1;0
1;21;13;0;0;9979
1;23;12;0;0;5204
0;18;12;0;0;735
1;22;12;0;0;6760
0;20;12;0;0;4140
0;22;12;1;0;9421
0;35;11;1;1;7097
1;27;13;1;0;9382
0;41;12;0;0;10707
0;30;11;1;1;0
1;22;12;1;0;492
1;27;12;1;0;10409
1;42;14;1;0;0
0;27;10;1;1;13542
1;41;14;0;0;0
0;50;8;1;1;7507
1;26;10;1;1;9774
0;25;10;1;1;12428
1;35;8;1;1;13732
0;25;9;1;1;24732
1;33;11;1;1;14661
0;28;12;1;0;0
0;27;11;1;1;20249
1;46;8;1;1;0
0;30;14;1;0;0
1;19;10;0;1;0
0;34;13;1;0;0
1;26;11;0;1;0
0;30;11;1;1;24287
0;36;12;0;0;0
1;45;5;1;1;0
1;23;10;1;1;0
0;39;12;1;0;0
0;23;9;1;1;19047
0;27;11;1;1;0
1;38;12;0;0;0
0;24;11;0;1;2670
1;26;11;1;1;0
1;29;14;0;0;0
1;27;11;1;1;2336
0;55;3;0;1;0
0;20;11;0;1;1413
0;54;11;0;1;0
0;36;12;0;0;13661
0;23;10;1;1;0
0;28;11;0;1;2788
0;32;12;1;0;0
0;32;12;0;0;13283
0;18;9;0;1;0
1;26;11;0;1;22894
1;28;11;1;1;6702
0;28;11;1;1;824
1;26;12;0;0;8812
0;31;13;0;0;10256
0;28;9;1;1;10222
1;24;12;0;0;11972
1;46;13;0;0;0
1;18;10;1;1;785
0;26;11;1;1;0
1;26;11;1;1;0
0;22;12;0;0;4380
1;41;9;1;1;7865
0;22;10;0;1;27864
0;19;10;0;1;0
0;25;11;1;1;2336
0;29;13;0;0;718
0;21;9;0;1;2988
1;24;11;1;1;824
1;29;12;0;0;9748
0;29;12;0;0;0
1;19;8;0;1;4102
0;25;9;1;1;0
1;31;9;0;1;0
0;28;13;0;0;0
1;21;11;1;1;3524
0;21;10;1;1;1947
0;27;12;0;0;0
1;27;12;0;0;1971
0;26;12;0;0;0
1;31;13;0;0;5996
1;24;15;0;0;12814
1;23;8;1;1;0
0;28;12;1;0;10585
1;31;12;0;0;0
1;26;12;0;0;1051
1;25;13;0;0;12363
0;26;14;1;0;2026
0;33;9;1;1;0
1;24;12;1;0;7865
0;21;14;0;0;6463
1;26;12;1;0;8409
0;24;12;0;0;0
0;24;12;0;0;4739
1;25;12;0;0;0
1;42;14;0;0;0
1;18;12;0;0;563
0;25;12;1;0;0
1;21;12;0;0;6474
0;20;12;0;0;7182
1;20;12;0;0;0
0;20;12;0;0;558
0;19;11;1;1;308
1;23;12;1;0;0
0;26;12;1;0;0
1;31;11;1;1;0
0;27;13;0;0;5214
1;41;4;1;1;0
0;27;12;0;0;6045
0;26;13;0;0;6477
0;39;11;0;1;0
1;30;11;1;1;0
0;28;12;1;0;31635
1;21;12;0;0;0
1;23;12;0;0;9386
1;27;12;1;0;3671
0;24;12;0;0;0
1;25;14;1;0;35040
0;21;12;0;0;7254
1;21;12;0;0;8060
1;21;12;0;0;3671
1;38;11;0;1;0
1;40;12;0;0;0
1;41;9;1;1;6308
0;28;10;1;1;8293
1;42;12;0;0;0
1;27;8;0;1;6150
1;23;12;1;0;15979
1;48;4;0;1;0
1;29;10;0;1;0
0;27;7;1;1;0
1;44;11;0;1;0
0;26;8;1;1;3855
1;37;11;1;1;0
1;31;9;0;1;10717
0;36;11;0;1;5520
0;22;7;0;1;13504
0;50;10;0;1;0
1;29;11;1;1;0
1;38;9;0;1;0
0;28;11;0;1;17491
0;36;11;0;1;5444
0;22;11;1;1;0
1;33;11;0;1;0
1;31;4;0;1;8518
1;37;9;0;1;0
0;29;11;1;1;0
0;34;12;0;0;4907
0;45;9;0;1;0
0;31;11;0;1;19555
0;31;11;0;1;8420
1;19;9;0;1;3084
0;33;12;0;0;0
1;17;10;0;1;1291
1;25;11;1;1;0
0;22;11;0;1;1167
1;22;11;0;1;8176
0;19;8;0;1;1088
1;22;11;0;1;12301
0;25;10;1;1;0
0;25;10;1;1;13520
0;43;10;0;1;2503
0;34;11;1;1;0
1;46;8;0;1;3166
0;21;11;1;1;9659
0;22;9;0;1;0
0;34;10;1;1;0
1;29;10;0;1;0
1;28;11;0;1;1929
1;28;11;0;1;0
1;28;10;0;1;0
0;45;11;0;1;0
0;27;11;0;1;0
1;27;11;0;1;3312
0;26;12;0;0;9247
1;27;10;0;1;3504
1;29;4;0;1;0
1;25;11;0;1;0
0;18;7;0;1;0
1;23;12;0;0;9342
1;23;12;0;0;5506
0;34;12;0;0;0
1;24;11;0;1;9344
0;24;11;0;1;0
0;30;12;0;0;0
0;26;8;0;1;1126
1;21;12;0;0;473
0;23;11;0;1;0
0;23;11;0;1;7617
1;25;9;0;1;1419
1;24;10;0;1;4250
1;31;11;1;1;0
1;18;11;0;1;0
0;18;11;0;1;0
0;18;11;0;1;789
0;18;11;0;1;8784
0;17;10;0;1;0
0;25;11;1;1;0
0;19;11;0;1;3504
0;19;11;0;1;6337
0;19;11;0;1;1868
0;19;11;0;1;5217
1;19;11;0;1;2305
1;19;11;0;1;9857
0;19;11;0;1;946
0;19;11;0;1;394
1;21;11;0;1;2957
0;20;11;0;1;7964
0;20;11;0;1;2570
0;20;11;0;1;7967
0;20;11;0;1;1650
0;20;11;0;1;1168
1;20;11;0;1;3637
0;24;9;0;1;2622
0;30;9;0;1;3426
0;31;10;1;1;0
0;18;10;0;1;678
0;18;10;0;1;0
1;18;10;0;1;2143
0;28;11;1;1;3473
1;17;9;0;1;0
1;17;9;0;1;375
1;17;9;0;1;1717
0;25;10;1;1;0
0;44;11;0;1;0
0;22;10;0;1;0
1;19;10;0;1;2959
1;19;10;0;1;4122
0;21;10;0;1;6661
0;29;12;0;0;22859
1;29;12;0;0;10882
0;20;10;0;1;825
1;20;10;0;1;11073
0;20;10;0;1;3115
0;20;10;0;1;3667
0;20;10;0;1;0
0;18;9;0;1;0
0;18;9;0;1;2138
1;17;8;0;1;0
1;17;8;0;1;0
0;26;10;1;1;6140
1;26;10;1;1;2028
1;22;9;0;1;2193
0;19;9;0;1;8410
0;21;9;0;1;31886
0;20;9;0;1;7688
0;20;9;0;1;9718
0;31;4;0;1;11681
0;44;9;0;1;0
0;18;7;1;1;3059
1;19;8;0;1;2636
1;21;8;0;1;989
0;19;10;1;1;0
0;17;10;0;1;1204
0;19;9;1;1;0
0;19;6;0;1;0
0;29;11;1;1;0
0;17;9;0;1;0
0;25;8;1;1;331
1;29;10;1;1;4688
1;24;10;1;1;11703
0;28;8;0;1;0
0;33;11;0;1;10524
1;21;11;0;1;1262
1;26;11;0;1;3808
0;28;11;1;1;8593
0;23;10;1;1;10746
0;31;12;0;0;0
0;31;12;0;0;0
1;25;11;0;1;0
1;25;12;0;0;3297
1;25;12;0;0;0
0;24;10;0;1;3001
1;18;11;0;1;5492
0;27;11;1;1;1123
1;17;10;0;1;2103
0;17;10;0;1;1443
0;17;10;0;1;4905
1;43;9;0;1;0
1;25;10;0;1;5139
0;25;10;0;1;8877
0;21;14;0;0;0
1;21;11;0;1;6853
0;21;11;0;1;2993
0;17;11;0;1;0
1;18;10;0;1;12718
0;18;10;0;1;0
1;27;10;1;1;0
1;22;10;1;1;1468
0;30;13;0;0;6074
0;23;11;0;1;21492
0;19;10;0;1;0
0;19;10;0;1;1262
1;18;11;0;1;3678
0;27;12;0;0;27914
0;17;10;0;1;2418
1;26;12;0;0;0
0;26;12;0;0;0
1;22;11;0;1;0
0;19;11;0;1;823
0;19;11;0;1;0
1;27;9;1;1;0
1;30;12;0;0;0
0;20;11;0;1;1546
1;25;8;0;1;24415
0;19;9;0;1;2687
0;29;14;0;0;3357
0;26;10;1;1;12143
1;17;9;0;1;1618
1;25;11;1;1;0
0;24;8;0;1;0
1;29;13;0;0;0
1;25;12;0;0;6939
0;17;8;0;1;0
1;28;15;0;0;0
1;19;9;0;1;0
1;25;12;0;0;14427
0;25;10;1;1;0
0;18;8;0;1;1168
0;29;12;0;0;0
0;28;14;0;0;7851
0;18;6;0;1;6385
0;42;10;0;1;0
1;23;7;0;1;0
1;18;8;1;1;0
0;21;11;1;1;7652
1;23;10;1;1;9462
0;24;12;0;0;0
0;27;13;0;0;9594
1;27;13;0;0;0
1;27;13;0;0;0
0;27;13;0;0;0
1;27;13;0;0;0
0;27;12;0;0;31167
1;27;12;0;0;2143
0;27;12;0;0;3312
0;38;10;0;1;0
1;22;16;0;0;0
0;26;12;0;0;7322
1;22;12;0;0;5606
0;22;12;0;0;0
0;25;13;0;0;10240
0;25;13;0;0;3751
1;25;12;0;0;0
1;25;12;0;0;0
0;25;12;0;0;0
0;25;12;0;0;0
1;25;12;0;0;0
1;21;13;0;0;0
0;25;11;1;1;0
1;24;12;0;0;20580
1;24;12;0;0;13766
1;21;13;0;0;27052
0;20;13;0;0;9107
1;20;12;0;0;989
1;23;12;0;0;6614
1;23;12;0;0;0
1;23;12;0;0;0
1;23;12;0;0;6269
0;20;12;0;0;0
1;18;12;0;0;0
0;18;12;0;0;0
0;18;12;0;0;701
0;22;12;0;0;2591
1;22;12;0;0;0
0;22;12;0;0;710
1;19;12;0;0;3042
1;21;12;0;0;0
1;21;12;0;0;0
0;21;12;0;0;449
0;20;12;0;0;6576
1;20;12;0;0;1265
1;20;12;0;0;8114
0;20;12;0;0;0
1;20;12;0;0;9228
1;20;12;0;0;0
0;19;12;0;0;8417
1;19;11;1;1;5424
0;19;12;0;0;0
1;40;11;0;1;0
0;18;10;1;1;2308
0;27;12;0;0;2920
1;20;6;1;1;10803
0;36;7;0;1;1752
0;24;7;0;1;0
0;21;8;0;1;879
0;35;11;0;1;0
0;39;9;0;1;0
0;23;12;0;0;5722
1;18;12;0;0;584
0;29;9;0;1;9269
0;36;10;0;1;0
1;33;8;0;1;0
0;32;11;0;1;0
0;39;6;0;1;0
0;38;10;0;1;0
0;38;8;0;1;0
0;37;10;0;1;8607
0;20;10;0;1;690
0;36;10;0;1;0
1;27;11;0;1;0
1;35;10;0;1;0
0;35;10;0;1;9903
0;35;10;0;1;0
0;25;10;0;1;0
0;24;11;0;1;0
1;30;11;0;1;0
0;20;9;0;1;0
0;23;11;0;1;37849
0;34;11;0;1;0
0;34;11;0;1;8912
1;23;10;0;1;17131
1;25;8;0;1;37432
0;34;10;0;1;0
0;30;8;0;1;0
0;21;7;0;1;0
0;34;9;0;1;5244
1;20;9;0;1;6084
0;29;11;0;1;0
0;33;11;0;1;0
1;34;7;0;1;1143
1;29;8;0;1;0
0;28;10;0;1;10980
0;29;9;0;1;9594
1;32;11;0;1;0
1;27;11;0;1;17075
1;32;10;0;1;2787
0;32;10;0;1;0
0;26;11;0;1;4700
0;27;11;0;1;3065
1;27;10;0;1;1001
1;34;11;0;1;5062
0;26;10;0;1;0
0;32;8;0;1;0
0;31;11;0;1;17712
0;31;11;0;1;7662
1;21;11;0;1;21589
1;25;11;0;1;0
0;31;10;0;1;0
0;31;10;0;1;0
0;31;10;0;1;0
1;17;10;0;1;0
1;30;11;0;1;1913
1;19;11;0;1;0
0;31;8;0;1;5495
1;20;11;0;1;0
0;20;8;0;1;1350
1;23;10;0;1;0
0;24;9;0;1;2788
1;18;10;0;1;0
0;18;10;0;1;1557
1;30;10;0;1;3140
0;22;10;0;1;16486
0;25;11;0;1;2622
1;20;10;0;1;6123
0;20;10;0;1;0
0;25;11;0;1;0
1;25;11;0;1;0
0;20;9;0;1;3312
0;29;11;0;1;3551
0;24;11;0;1;0
1;20;7;0;1;1884
0;29;9;0;1;0
1;24;9;0;1;9155
0;28;11;0;1;2432
0;28;11;0;1;0
0;29;8;0;1;0
0;27;9;0;1;2129
0;28;10;0;1;1471
0;28;10;0;1;6567
0;28;10;0;1;5378
0;23;11;0;1;6382
0;33;5;0;1;0
0;23;10;0;1;0
1;27;11;0;1;2207
1;27;11;0;1;0
1;27;11;0;1;0
1;28;9;0;1;0
0;28;9;0;1;0
0;27;10;0;1;0
0;27;10;0;1;0
1;28;8;0;1;1577
0;28;8;0;1;11870
1;28;8;0;1;0
1;26;11;0;1;0
0;26;11;0;1;0
1;31;9;0;1;0
0;27;9;0;1;2839
1;27;9;0;1;3059
